region_cd,sido_cd,sgg_cd,umd_cd,ri_cd,locatjumin_cd,locatjijuk_cd,locatadd_nm,locat_order,locat_rm,locathigh_cd,locallow_nm,adpt_de
4420036033,44,200,360,33,4420036033,4420036033,충청남도 아산시 둔포면 운용리,13,,4420036000,운용리,
4420036034,44,200,360,34,4420036034,4420036034,충청남도 아산시 둔포면 신왕리,14,,4420036000,신왕리,
4420036035,44,200,360,35,4420036035,4420036035,충청남도 아산시 둔포면 염작리,15,,4420036000,염작리,
4420037000,44,200,370,00,4420037000,4420037000,충청남도 아산시 영인면,26,,4420000000,영인면,
4420037021,44,200,370,21,4420037021,4420037021,충청남도 아산시 영인면 아산리,1,,4420037000,아산리,
4420037022,44,200,370,22,4420037022,4420037022,충청남도 아산시 영인면 상성리,2,,4420037000,상성리,
4420037023,44,200,370,23,4420037023,4420037023,충청남도 아산시 영인면 신현리,3,,4420037000,신현리,
4420037024,44,200,370,24,4420037024,4420037024,충청남도 아산시 영인면 월선리,4,,4420037000,월선리,
4420037025,44,200,370,25,4420037025,4420037025,충청남도 아산시 영인면 신운리,5,,4420037000,신운리,
4420037026,44,200,370,26,4420037026,4420037026,충청남도 아산시 영인면 백석포리,6,,4420037000,백석포리,
4420037027,44,200,370,27,4420037027,4420037027,충청남도 아산시 영인면 와우리,7,,4420037000,와우리,
4420037028,44,200,370,28,4420037028,4420037028,충청남도 아산시 영인면 구성리,8,,4420037000,구성리,
4420037029,44,200,370,29,4420037029,4420037029,충청남도 아산시 영인면 창용리,9,,4420037000,창용리,
4420037030,44,200,370,30,4420037030,4420037030,충청남도 아산시 영인면 신봉리,10,,4420037000,신봉리,
4420037031,44,200,370,31,4420037031,4420037031,충청남도 아산시 영인면 성내리,11,,4420037000,성내리,
4420037032,44,200,370,32,4420037032,4420037032,충청남도 아산시 영인면 신화리,12,,4420037000,신화리,
4420037033,44,200,370,33,4420037033,4420037033,충청남도 아산시 영인면 역리,13,,4420037000,역리,
4420038000,44,200,380,00,4420038000,4420038000,충청남도 아산시 인주면,27,,4420000000,인주면,
4420038021,44,200,380,21,4420038021,4420038021,충청남도 아산시 인주면 공세리,1,,4420038000,공세리,
4420038022,44,200,380,22,4420038022,4420038022,충청남도 아산시 인주면 모원리,2,,4420038000,모원리,
4420038023,44,200,380,23,4420038023,4420038023,충청남도 아산시 인주면 신성리,3,,4420038000,신성리,
4420038024,44,200,380,24,4420038024,4420038024,충청남도 아산시 인주면 걸매리,4,,4420038000,걸매리,
4420038025,44,200,380,25,4420038025,4420038025,충청남도 아산시 인주면 밀두리,5,,4420038000,밀두리,
4420038026,44,200,380,26,4420038026,4420038026,충청남도 아산시 인주면 문방리,6,,4420038000,문방리,
4420038027,44,200,380,27,4420038027,4420038027,충청남도 아산시 인주면 대음리,7,,4420038000,대음리,
4420038028,44,200,380,28,4420038028,4420038028,충청남도 아산시 인주면 금성리,8,,4420038000,금성리,
4420038029,44,200,380,29,4420038029,4420038029,충청남도 아산시 인주면 해암리,9,,4420038000,해암리,
4420038030,44,200,380,30,4420038030,4420038030,충청남도 아산시 인주면 도흥리,10,,4420038000,도흥리,
4420038031,44,200,380,31,4420038031,4420038031,충청남도 아산시 인주면 관암리,11,,4420038000,관암리,
4420038032,44,200,380,32,4420038032,4420038032,충청남도 아산시 인주면 냉정리,12,,4420038000,냉정리,
4420039000,44,200,390,00,4420039000,4420039000,충청남도 아산시 선장면,28,,4420000000,선장면,
4420039021,44,200,390,21,4420039021,4420039021,충청남도 아산시 선장면 군덕리,1,,4420039000,군덕리,
4420039022,44,200,390,22,4420039022,4420039022,충청남도 아산시 선장면 돈포리,2,,4420039000,돈포리,
4420039023,44,200,390,23,4420039023,4420039023,충청남도 아산시 선장면 신덕리,3,,4420039000,신덕리,
4420039024,44,200,390,24,4420039024,4420039024,충청남도 아산시 선장면 대정리,4,,4420039000,대정리,
4420039025,44,200,390,25,4420039025,4420039025,충청남도 아산시 선장면 장곳리,5,,4420039000,장곳리,
4420039026,44,200,390,26,4420039026,4420039026,충청남도 아산시 선장면 신성리,6,,4420039000,신성리,
4420039027,44,200,390,27,4420039027,4420039027,충청남도 아산시 선장면 죽산리,7,,4420039000,죽산리,
4420039028,44,200,390,28,4420039028,4420039028,충청남도 아산시 선장면 신동리,8,,4420039000,신동리,
4420039029,44,200,390,29,4420039029,4420039029,충청남도 아산시 선장면 선창리,9,,4420039000,선창리,
4420039030,44,200,390,30,4420039030,4420039030,충청남도 아산시 선장면 대흥리,10,,4420039000,대흥리,
4420039031,44,200,390,31,4420039031,4420039031,충청남도 아산시 선장면 홍곳리,11,,4420039000,홍곳리,
4420039032,44,200,390,32,4420039032,4420039032,충청남도 아산시 선장면 가산리,12,,4420039000,가산리,
4420039033,44,200,390,33,4420039033,4420039033,충청남도 아산시 선장면 신문리,13,,4420039000,신문리,
4471037021,44,710,370,21,4471037021,4471037021,충청남도 금산군 진산면 만악리,1,,4471037000,만악리,
4471037022,44,710,370,22,4471037022,4471037022,충청남도 금산군 진산면 엄정리,2,,4471037000,엄정리,
4471037023,44,710,370,23,4471037023,4471037023,충청남도 금산군 진산면 부암리,3,,4471037000,부암리,
4420039034,44,200,390,34,4420039034,4420039034,충청남도 아산시 선장면 궁평리,14,,4420039000,궁평리,
4420039035,44,200,390,35,4420039035,4420039035,충청남도 아산시 선장면 채신언리,15,,4420039000,채신언리,
4420040000,44,200,400,00,4420040000,4420040000,충청남도 아산시 도고면,29,,4420000000,도고면,
4420040021,44,200,400,21,4420040021,4420040021,충청남도 아산시 도고면 신언리,1,,4420040000,신언리,
4420040022,44,200,400,22,4420040022,4420040022,충청남도 아산시 도고면 봉농리,2,,4420040000,봉농리,
